CVE_ID,Descripcion,CVSS_Score,Vector_Ataque,Severidad,CWE,Software,Fecha_Publicacion,Fecha_Ultima_Modificacion,Dias_Desde_Publicacion
CVE-2000-0806,"The inter-module authentication mechanism (fwa1) in Check Point VPN-1/FireWall-1 4.1 and earlier may allow remote attackers to conduct a denial of service, aka ""Inter-module Communications Bypass.""",5,NETWORK,Media,Sin clasificar,Checkpoint Firewall-1,2000-11-14,2026-06-16,9346
CVE-2000-0807,"The OPSEC communications authentication mechanism (fwn1) in Check Point VPN-1/FireWall-1 4.1 and earlier allows remote attackers to spoof connections, aka the ""OPSEC Authentication Vulnerability.""",7.5,NETWORK,Alta,Sin clasificar,Checkpoint Firewall-1,2000-11-14,2026-06-16,9346
CVE-2000-0808,"The seed generation mechanism in the inter-module S/Key authentication mechanism in Check Point VPN-1/FireWall-1 4.1 and earlier allows remote attackers to bypass authentication via a brute force attack, aka ""One-time (s/key) Password Authentication.""",7.5,NETWORK,Alta,Sin clasificar,Checkpoint Firewall-1,2000-11-14,2026-06-16,9346
CVE-2000-0809,Buffer overflow in Getkey in the protocol checker in the inter-module communication mechanism in Check Point VPN-1/FireWall-1 4.1 and earlier allows remote attackers to cause a denial of service.,5,NETWORK,Media,Sin clasificar,Checkpoint Firewall-1,2000-11-14,2026-06-16,9346
CVE-2000-0812,The administration module in Sun Java web server allows remote attackers to execute arbitrary commands by uploading Java code to the module and invoke the com.sun.server.http.pagecompile.jsp92.JspServlet by requesting a URL that begins with a /servlet/ tag.,10,NETWORK,Crítica,Sin clasificar,Sun Java system web server,2000-11-14,2026-06-16,9346
CVE-2000-0813,"Check Point VPN-1/FireWall-1 4.1 and earlier allows remote attackers to redirect FTP connections to other servers (""FTP Bounce"") via invalid FTP commands that are processed improperly by FireWall-1, aka ""FTP Connection Enforcement Bypass.""",5,NETWORK,Media,Sin clasificar,Checkpoint Firewall-1,2000-11-14,2026-06-16,9346
CVE-2000-0824,"The unsetenv function in glibc 2.1.1 does not properly unset an environmental variable if the variable is provided twice to a program, which could allow local users to execute arbitrary commands in setuid programs by specifying their own duplicate environmental variables such as LD_PRELOAD or LD_LIB",7.2,LOCAL,Alta,Sin clasificar,Gnu Glibc,2000-11-14,2026-06-16,9346
CVE-2000-0825,"Ipswitch Imail 6.0 allows remote attackers to cause a denial of service via a large number of connections in which a long Host: header is sent, which causes a thread to crash.",5,NETWORK,Media,Sin clasificar,Ipswitch Imail,2000-11-14,2026-06-16,9346
CVE-2000-0826,Buffer overflow in ddicgi.exe program in Mobius DocumentDirect for the Internet 1.2 allows remote attackers to execute arbitrary commands via a long GET request.,10,NETWORK,Crítica,Sin clasificar,Mobius Documentdirect for the internet,2000-11-14,2026-06-16,9346
CVE-2000-0827,Buffer overflow in the web authorization form of Mobius DocumentDirect for the Internet 1.2 allows remote attackers to cause a denial of service or execute arbitrary commands via a long username.,10,NETWORK,Crítica,Sin clasificar,Mobius Documentdirect for the internet,2000-11-14,2026-06-16,9346
CVE-2000-0828,Buffer overflow in ddicgi.exe in Mobius DocumentDirect for the Internet 1.2 allows remote attackers to execute arbitrary commands via a long User-Agent parameter.,10,NETWORK,Crítica,Sin clasificar,Mobius Documentdirect for the internet,2000-11-14,2026-06-16,9346
CVE-2000-0829,"The tmpwatch utility in Red Hat Linux forks a new process for each directory level, which allows local users to cause a denial of service by creating deeply nested directories in /tmp or /var/tmp/.",2.1,LOCAL,Baja,Sin clasificar,Redhat Tmpwatch,2000-11-14,2026-06-16,9346
CVE-2000-0830,"annclist.exe in webTV for Windows allows remote attackers to cause a denial of service by via a large, malformed UDP packet to ports 22701 through 22705.",5,NETWORK,Media,Sin clasificar,Microsoft Webtv,2000-11-14,2026-06-16,9346
CVE-2000-0831,Buffer overflow in Fastream FTP++ 2.0 allows remote attackers to cause a denial of service and possibly execute arbitrary commands via a long username.,7.5,NETWORK,Alta,Sin clasificar,Fastream Ftp\+\+ server,2000-11-14,2026-06-16,9346
CVE-2000-0832,Htgrep CGI program allows remote attackers to read arbitrary files by specifying the full pathname in the hdr parameter.,5,NETWORK,Media,Sin clasificar,Oscar nierstrasz Htgrep,2000-11-14,2026-06-16,9346
CVE-2000-0833,Buffer overflow in WinSMTP 1.06f and 2.X allows remote attackers to cause a denial of service via a long (1) USER or (2) HELO command.,10,NETWORK,Crítica,Sin clasificar,Jack de winter Winsmtp,2000-11-14,2026-06-16,9346
CVE-2000-0834,"The Windows 2000 telnet client attempts to perform NTLM authentication by default, which allows remote attackers to capture and replay the NTLM challenge/response via a telnet:// URL that points to the malicious server, aka the ""Windows 2000 Telnet Client NTLM Authentication"" vulnerability.",7.5,NETWORK,Alta,Sin clasificar,Microsoft Windows 2000,2000-11-14,2026-06-16,9346
CVE-2000-0835,search.dll Sambar ISAPI Search utility in Sambar Server 4.4 Beta 3 allows remote attackers to read arbitrary directories by specifying the directory in the query parameter.,5,NETWORK,Media,Sin clasificar,Sambar Sambar server,2000-11-14,2026-06-16,9346
CVE-2000-0836,Buffer overflow in CamShot WebCam Trial2.6 allows remote attackers to execute arbitrary commands via a long Authorization header.,7.5,NETWORK,Alta,Sin clasificar,Broadgun software Camshot webcam,2000-11-14,2026-06-16,9346
CVE-2000-0837,FTP Serv-U 2.5e allows remote attackers to cause a denial of service by sending a large number of null bytes.,5,NETWORK,Media,Sin clasificar,Deerfield Ftp serv-u,2000-11-14,2026-06-16,9346
CVE-2000-0838,Fastream FUR HTTP server 1.0b allows remote attackers to cause a denial of service via a long GET request.,5,NETWORK,Media,Sin clasificar,Fastream Fur http server,2000-11-14,2026-06-16,9346
CVE-2000-0839,WinCOM LPD 1.00.90 allows remote attackers to cause a denial of service via a large number of LPD options to the LPD port (515).,5,NETWORK,Media,Sin clasificar,Ipswitch Wincom lpd,2000-11-14,2026-06-16,9346
CVE-2000-0840,Buffer overflow in XMail POP3 server before version 0.59 allows remote attackers to execute arbitrary commands via a long USER command.,10,NETWORK,Crítica,Sin clasificar,Davide libenzi Xmail,2000-11-14,2026-06-16,9346
CVE-2000-0841,Buffer overflow in XMail POP3 server before version 0.59 allows remote attackers to execute arbitrary commands via a long APOP command.,10,NETWORK,Crítica,Sin clasificar,Davide libenzi Xmail,2000-11-14,2026-06-16,9346
CVE-2000-0842,"The search97cgi/vtopic"" in the UnixWare 7 scohelphttp webserver allows remote attackers to read arbitrary files via a .. (dot dot) attack.",5,NETWORK,Media,Sin clasificar,Sco Unixware,2000-11-14,2026-06-16,9346
CVE-2000-0843,Buffer overflow in pam_smb and pam_ntdom pluggable authentication modules (PAM) allow remote attackers to execute arbitrary commands via a login with a long user name.,10,NETWORK,Crítica,Sin clasificar,Dave airlie Pam smb,2000-11-14,2026-06-16,9346
CVE-2000-0844,"Some functions that implement the locale subsystem on Unix do not  properly cleanse user-injected format strings, which allows local attackers to execute arbitrary commands via functions such as gettext and catopen.",10,NETWORK,Crítica,CWE-264,Caldera Openlinux ebuilder,2000-11-14,2026-06-16,9346
CVE-2000-0845,kdebug daemon (kdebugd) in Digital Unix 4.0F allows remote attackers to read arbitrary files by specifying the full file name in the initialization packet.,6.4,NETWORK,Media,Sin clasificar,Digital Unix,2000-11-14,2026-06-16,9346
CVE-2000-0846,Buffer overflow in Darxite 0.4 and earlier allows a remote attacker to execute arbitrary commands via a long username or password.,7.5,NETWORK,Alta,Sin clasificar,Ashley montanaro Darxite,2000-11-14,2026-06-16,9346
CVE-2000-0847,Buffer overflow in University of Washington c-client library (used by pine and other programs) allows remote attackers to execute arbitrary commands via a long X-Keywords header.,7.5,NETWORK,Alta,Sin clasificar,University of washington Imap,2000-11-14,2026-06-16,9346
CVE-2000-0848,Buffer overflow in IBM WebSphere web application server (WAS) allows remote attackers to execute arbitrary commands via a long Host:  request header.,10,NETWORK,Crítica,Sin clasificar,Ibm Websphere application server,2000-11-14,2026-06-16,9346
CVE-2000-0849,"Race condition in Microsoft Windows Media server allows remote attackers to cause a denial of service in the Windows Media Unicast Service via a malformed request, aka the ""Unicast Service Race Condition"" vulnerability.",2.6,NETWORK,Baja,Sin clasificar,Microsoft Windows media services,2000-11-14,2026-06-16,9346
CVE-2000-0850,"Netegrity SiteMinder before 4.11 allows remote attackers to bypass its authentication mechanism by appending ""$/FILENAME.ext"" (where ext is .ccc, .class, or .jpg) to the requested URL.",7.5,NETWORK,Alta,Sin clasificar,Netegrity Siteminder,2000-11-14,2026-06-16,9346
CVE-2000-0851,"Buffer overflow in the Still Image Service in Windows 2000 allows local users to gain additional privileges via a long WM_USER message, aka the ""Still Image Service Privilege Escalation"" vulnerability.",4.6,LOCAL,Media,Sin clasificar,Microsoft Windows 2000,2000-11-14,2026-06-16,9346
CVE-2000-0852,Multiple buffer overflows in eject on FreeBSD and possibly other OSes allows local users to gain root privileges.,7.2,LOCAL,Alta,Sin clasificar,Freebsd Freebsd,2000-11-14,2026-06-16,9346
CVE-2000-0853,YaBB Bulletin Board 9.1.2000 allows remote attackers to read arbitrary files via a .. (dot dot) attack.,5,NETWORK,Media,Sin clasificar,Yabb Yabb,2000-11-14,2026-06-16,9346
CVE-2000-0854,"When a Microsoft Office 2000 document is launched, the directory of that document is first used to locate DLL's such as riched20.dll and msi.dll, which could allow an attacker to execute arbitrary commands by inserting a Trojan Horse DLL into the same directory as the document.",10,NETWORK,Crítica,Sin clasificar,Microsoft Office,2000-11-14,2026-06-16,9346
CVE-2000-0855,SunFTP build 9(1) allows remote attackers to cause a denial of service by connecting to the server and disconnecting before sending a newline.,5,NETWORK,Media,Sin clasificar,Xs4all data Xs4all data sunftp,2000-11-14,2026-06-16,9346
CVE-2000-0856,Buffer overflow in SunFTP build 9(1) allows remote attackers to cause a denial of service or possibly execute arbitrary commands via a long GET request.,7.5,NETWORK,Alta,Sin clasificar,Xs4all data Xs4all data sunftp,2000-11-14,2026-06-16,9346
CVE-2000-0857,"The logging capability in muh 2.05d IRC server does not properly cleanse user-injected format strings, which allows remote attackers to cause a denial of service or execute arbitrary commands via a malformed nickname.",7.5,NETWORK,Alta,Sin clasificar,Sebastian kienzl Muh,2000-11-14,2026-06-16,9346
CVE-2000-0858,"Vulnerability in Microsoft Windows NT 4.0 allows remote attackers to cause a denial of service in IIS by sending it a series of malformed requests which cause INETINFO.EXE to fail, aka the ""Invalid URL"" vulnerability.",5,NETWORK,Media,Sin clasificar,Microsoft Internet information server,2000-11-14,2026-06-16,9346
CVE-2000-0859,The web configuration server for NTMail V5 and V6 allows remote attackers to cause a denial of service via a series of partial HTTP requests.,5,NETWORK,Media,Sin clasificar,Gordano Ntmail,2000-11-14,2026-06-16,9346
CVE-2000-0860,The file upload capability in PHP versions 3 and 4 allows remote attackers to read arbitrary files by setting hidden form fields whose names match the names of internal PHP script variables.,5,NETWORK,Media,Sin clasificar,Php Php,2000-11-14,2026-06-16,9346
CVE-2000-0861,Mailman 1.1 allows list administrators to execute arbitrary commands via shell metacharacters in the %(listname) macro expansion.,7.2,LOCAL,Alta,Sin clasificar,Gnu Mailman,2000-11-14,2026-06-16,9346
CVE-2000-0862,Vulnerability in an administrative interface utility for Allaire Spectra 1.0.1 allows remote attackers to read and modify sensitive configuration information.,6.4,NETWORK,Media,Sin clasificar,Allaire Spectra,2000-11-14,2026-06-16,9346
CVE-2000-0863,Buffer overflow in listmanager earlier than 2.105.1 allows local users to gain additional privileges.,7.2,LOCAL,Alta,Sin clasificar,Listmanager Linux,2000-11-14,2026-06-16,9346
CVE-2000-0864,"Race condition in the creation of a Unix domain socket in GNOME esound 0.2.19 and earlier allows a local user to change the permissions of arbitrary files and directories, and gain additional privileges, via a  symlink attack.",6.2,LOCAL,Media,CWE-362,Gnome Esound,2000-11-14,2026-06-16,9346
CVE-2000-0865,Buffer overflow in dvtermtype in Tridia Double Vision 3.07.00 allows local users to gain root privileges via a long terminal type argument.,7.2,LOCAL,Alta,Sin clasificar,Tridia Doublevision,2000-11-14,2026-06-16,9346
CVE-2000-0866,Interbase 6 SuperServer for Linux allows an attacker to cause a denial of service via a query containing 0 bytes.,2.1,LOCAL,Baja,Sin clasificar,Borland software Interbase superserver,2000-11-14,2026-06-16,9346
CVE-2000-0867,"Kernel logging daemon (klogd) in Linux does not properly cleanse user-injected format strings, which allows local users to gain root privileges by triggering malformed kernel messages.",7.2,LOCAL,Alta,Sin clasificar,Debian Debian linux,2000-11-14,2026-06-16,9346
CVE-2000-0868,The default configuration of Apache 1.3.12 in SuSE Linux 6.4 allows remote attackers to read source code for CGI scripts by replacing the /cgi-bin/ in the requested URL with /cgi-bin-sdb/.,5,NETWORK,Media,Sin clasificar,Apache Http server,2000-11-14,2026-06-16,9346
CVE-2000-0869,"The default configuration of Apache 1.3.12 in SuSE Linux 6.4 enables WebDAV, which allows remote attackers to list arbitrary directories via the PROPFIND HTTP request method.",5,NETWORK,Media,Sin clasificar,Apache Http server,2000-11-14,2026-06-16,9346
CVE-2000-0870,Buffer overflow in EFTP allows remote attackers to cause a denial of service via a long string.,7.5,NETWORK,Alta,Sin clasificar,Khamil landross and zack jones Eftp,2000-11-14,2026-06-16,9346
CVE-2000-0871,"Buffer overflow in EFTP allows remote attackers to cause a denial of service by sending a string that does not contain a newline, then disconnecting from the server.",5,NETWORK,Media,Sin clasificar,Khamil landross and zack jones Eftp,2000-11-14,2026-06-16,9346
CVE-2000-0872,explorer.php in PhotoAlbum 0.9.9 allows remote attackers to read arbitrary files via a .. (dot dot) attack.,5,NETWORK,Media,Sin clasificar,Nathan purciful Phpphotoalbum,2000-11-14,2026-06-16,9346
CVE-2000-0873,"netstat in AIX 4.x.x does not properly restrict access to the -Zi option, which allows local users to clear network interface statistics and possibly hide evidence of unusual network activities.",2.1,LOCAL,Baja,Sin clasificar,Ibm Aix,2000-11-14,2026-06-16,9346
CVE-2000-0874,Eudora mail client includes the absolute path of the sender's host within a virtual card (VCF).,5,NETWORK,Media,Sin clasificar,Qualcomm Eudora,2000-11-14,2026-06-16,9346
CVE-2000-0875,WFTPD and WFTPD Pro 2.41 RC12 allows remote attackers to cause a denial of service by sending a long string of unprintable characters.,5,NETWORK,Media,Sin clasificar,Texas imperial software Wftpd,2000-11-14,2026-06-16,9346
CVE-2000-0876,"WFTPD and WFTPD Pro 2.41 RC12 allows remote attackers to obtain the  full pathname of the server via a ""%C"" command, which generates an error message that includes the pathname.",5,NETWORK,Media,CWE-200,Texas imperial software Wftpd,2000-11-14,2026-06-16,9346
CVE-2000-0877,"mailform.pl CGI script in MailForm 2.0 allows remote attackers to read arbitrary files by specifying the file name in the XX-attach_file parameter, which MailForm then sends to the attacker.",5,NETWORK,Media,Sin clasificar,Ranson johnson Mailform,2000-11-14,2026-06-16,9346
CVE-2000-0878,The mailto CGI script allows remote attacker to execute arbitrary commands via shell metacharacters in the emailadd form field.,7.5,NETWORK,Alta,Sin clasificar,Ranson johnson Mailto cgi script,2000-11-14,2026-06-16,9346
CVE-2000-0879,"LPPlus programs dccsched, dcclpdser, dccbkst, dccshut, dcclpdshut, and dccbkstshut are installed setuid root and world executable, which allows arbitrary local users to start and stop various LPD services.",2.1,LOCAL,Baja,Sin clasificar,Plus technologies Lpplus,2000-11-14,2026-06-16,9346
CVE-2000-0880,"LPPlus creates the lpdprocess file with world-writeable permissions, which allows local users to kill arbitrary processes by specifying an alternate process ID and using the setuid dcclpdshut program to kill the process that was specified in the lpdprocess file.",3.6,LOCAL,Baja,Sin clasificar,Plus technologies Lpplus,2000-11-14,2026-06-16,9346
CVE-2000-0881,"The dccscan setuid program in LPPlus does not properly check if the user has the permissions to print the file that is specified to dccscan, which allows local users to print arbitrary files.",2.1,LOCAL,Baja,Sin clasificar,Plus technologies Lpplus,2000-11-14,2026-06-16,9346
CVE-2000-0882,"Intel Express 500 series switches allow a remote attacker to cause a denial of service via a malformed ICMP packet, which causes the CPU to crash.",5,NETWORK,Media,Sin clasificar,Intel Express 510t,2000-11-14,2026-06-16,9346
CVE-2000-0883,"The default configuration of mod_perl for Apache as installed on Mandrake Linux 6.1 through 7.1 sets the /perl/ directory to be browseable, which allows remote attackers to list the contents of that directory.",5,NETWORK,Media,Sin clasificar,Mandrakesoft Mandrake linux,2000-11-14,2026-06-16,9346
CVE-2000-1223,quikstore.cgi in Quikstore Shopping Cart allows remote attackers to execute arbitrary commands via shell metacharacters in the URL portion of an HTTP GET request.,7.5,NETWORK,Alta,Sin clasificar,I-soft Quikstore,2000-11-20,2026-06-16,9340
CVE-2000-1217,"Microsoft Windows 2000 before Service Pack 2 (SP2), when running in a non-Windows 2000 domain and using NTLM authentication, and when credentials of an account are locally cached, allows local users to bypass account lockout policies and make an unlimited number of login attempts, aka the ""Domain Ac",4.6,LOCAL,Media,Sin clasificar,Microsoft Windows 2000,2000-11-21,2026-06-16,9339
CVE-2000-1224,"Caucho Technology Resin 1.2 and possibly earlier allows remote attackers to view JSP source via an HTTP request to a .jsp file with certain characters appended to the file name, such as (1) "".."", (2) ""%2e.."", (3) ""%81"", (4) ""%82"", and others.",5,NETWORK,Media,Sin clasificar,Caucho technology Resin,2000-11-23,2026-06-16,9337
CVE-2000-1222,"AIX sysback before 4.2.1.13 uses a relative path to find and execute the hostname program, which allows local users to gain privileges by modifying the path to point to a malicious hostname program.",7.2,LOCAL,Alta,Sin clasificar,Ibm Aix,2000-12-10,2026-06-16,9320
CVE-2000-0998,"Format string vulnerability in top program allows local attackers to gain root privileges via the ""kill"" or ""renice"" function.",7.2,LOCAL,Alta,Sin clasificar,Freebsd Freebsd,2000-12-11,2026-06-16,9319
CVE-2000-0999,Format string vulnerabilities in OpenBSD ssh program (and possibly other BSD-based operating systems) allow attackers to gain root privileges.,10,NETWORK,Crítica,Sin clasificar,Openbsd Openssh,2000-12-11,2026-06-16,9319
CVE-2000-1000,Format string vulnerability in AOL Instant Messenger (AIM) 4.1.2010 allows remote attackers to cause a denial of service and possibly execute arbitrary commands by transferring a file whose name includes format characters.,5,NETWORK,Media,Sin clasificar,Aol Instant messenger,2000-12-11,2026-06-16,9319
CVE-2000-1001,"add_2_basket.asp in Element InstantShop allows remote attackers to modify price information via the ""price"" hidden form variable.",7.5,NETWORK,Alta,Sin clasificar,Element n.v Element instantshop,2000-12-11,2026-06-16,9319
CVE-2000-1002,"POP3 daemon in Stalker CommuniGate Pro 3.3.2 generates different error messages for invalid usernames versus invalid passwords, which allows remote attackers to determine valid email addresses on the server for SPAM attacks.",5,NETWORK,Media,Sin clasificar,Stalker Communigate pro,2000-12-11,2026-06-16,9319
CVE-2000-1003,"NETBIOS client in Windows 95 and Windows 98 allows a remote attacker to cause a denial of service by changing a file sharing service to return an unknown driver type, which causes the client to crash.",2.6,NETWORK,Baja,Sin clasificar,Microsoft Windows 95,2000-12-11,2026-06-16,9319
CVE-2000-1004,Format string vulnerability in OpenBSD photurisd allows local users to execute arbitrary commands via a configuration file directory name that contains formatting characters.,4.6,LOCAL,Media,Sin clasificar,Openbsd Openbsd,2000-12-11,2026-06-16,9319
CVE-2000-1005,Directory traversal vulnerability in html_web_store.cgi and web_store.cgi CGI programs in eXtropia WebStore allows remote attackers to read arbitrary files via a .. (dot dot) attack on the page parameter.,5,NETWORK,Media,Sin clasificar,Extropia Extropia webstore,2000-12-11,2026-06-16,9319
CVE-2000-1006,"Microsoft Exchange Server 5.5 does not properly handle a MIME header with a blank charset specified, which allows remote attackers to cause a denial of service via a charset="""" command, aka the ""Malformed MIME Header"" vulnerability.",5,NETWORK,Media,Sin clasificar,Microsoft Exchange server,2000-12-11,2026-06-16,9319
CVE-2000-1007,"I-gear 3.5.7 and earlier does not properly process log entries in which a URL is longer than 255 characters, which allows an attacker to cause reporting errors.",5,NETWORK,Media,Sin clasificar,Symantec I-gear,2000-12-11,2026-06-16,9319
CVE-2000-1008,"PalmOS 3.5.2 and earlier uses weak encryption to store the user password, which allows attackers with physical access to the Palm device to decrypt the password and gain access to the device.",4.6,LOCAL,Media,Sin clasificar,Palm Palm os,2000-12-11,2026-06-16,9319
CVE-2000-1009,"dump in Red Hat Linux 6.2 trusts the pathname specified by the RSH environmental variable, which allows local users to obtain root privileges by modifying the RSH variable to point to a Trojan horse program.",7.2,LOCAL,Alta,Sin clasificar,Redhat Linux,2000-12-11,2026-06-16,9319
CVE-2000-1010,Format string vulnerability in talkd in OpenBSD and possibly other BSD-based OSes allows remote attackers to execute arbitrary commands via a user name that contains format characters.,10,NETWORK,Crítica,Sin clasificar,Openbsd Openbsd,2000-12-11,2026-06-16,9319
CVE-2000-1011,"Buffer overflow in catopen() function in FreeBSD 5.0 and earlier, and possibly other OSes, allows local users to gain root privileges via a long environmental variable.",7.2,LOCAL,Alta,Sin clasificar,Freebsd Freebsd,2000-12-11,2026-06-16,9319
CVE-2000-1012,"The catopen function in FreeBSD 5.0 and earlier, and possibly other OSes, allows local users to read arbitrary files via the LANG environmental variable.",7.2,LOCAL,Alta,Sin clasificar,Freebsd Freebsd,2000-12-11,2026-06-16,9319
CVE-2000-1013,"The setlocale function in FreeBSD 5.0 and earlier, and possibly other OSes, allows local users to read arbitrary files via the LANG environmental variable.",7.2,LOCAL,Alta,Sin clasificar,Freebsd Freebsd,2000-12-11,2026-06-16,9319
CVE-2000-1014,Format string vulnerability in the search97.cgi CGI script in SCO help http server for Unixware 7 allows remote attackers to execute arbitrary commands via format characters in the queryText parameter.,7.5,NETWORK,Alta,Sin clasificar,Sco Unixware,2000-12-11,2026-06-16,9319
CVE-2000-1015,"The default configuration of Slashcode before version 2.0 Alpha has a default administrative password, which allows remote attackers to gain Slashcode privileges and possibly execute arbitrary commands.",7.5,NETWORK,Alta,Sin clasificar,Open source development network Slashcode,2000-12-11,2026-06-16,9319
CVE-2000-1016,"The default configuration of Apache (httpd.conf) on SuSE 6.4 includes an alias for the /usr/doc directory, which allows remote attackers to read package documentation and obtain system configuration information via an HTTP request for the /doc/packages URL.",5,NETWORK,Media,Sin clasificar,Suse Suse linux,2000-12-11,2026-06-16,9319
CVE-2000-1017,Webteachers Webdata allows remote attackers with valid Webdata accounts to read arbitrary files by posting a request to import the file into the WebData database.,5,NETWORK,Media,Sin clasificar,Webteacher Webdata,2000-12-11,2026-06-16,9319
CVE-2000-1018,"shred 1.0 file wiping utility does not properly open a file for overwriting or flush its buffers, which prevents shred from properly replacing the file's data and allows local users to recover the file.",2.1,LOCAL,Baja,Sin clasificar,Mendel cooper Shred,2000-12-11,2026-06-16,9319
CVE-2000-1019,Search engine in Ultraseek 3.1 and 3.1.10 (aka Inktomi Search) allows remote attackers to cause a denial of service via a malformed URL.,5,NETWORK,Media,Sin clasificar,Inktomi Search software,2000-12-11,2026-06-16,9319
CVE-2000-1020,Heap overflow in Worldclient in Mdaemon 3.1.1 and earlier allows remote attackers to cause a denial of service and possibly execute arbitrary commands via a long URL.,7.5,NETWORK,Alta,Sin clasificar,Alt-n Mdaemon,2000-12-11,2026-06-16,9319
CVE-2000-1021,Heap overflow in WebConfig in Mdaemon 3.1.1 and earlier allows remote attackers to cause a denial of service and possibly execute arbitrary commands via a long URL.,7.5,NETWORK,Alta,Sin clasificar,Alt-n Mdaemon,2000-12-11,2026-06-16,9319
CVE-2000-1022,"The mailguard feature in Cisco Secure PIX Firewall 5.2(2) and earlier does not properly restrict access to SMTP commands, which allows remote attackers to execute restricted commands by sending a DATA command before sending the restricted commands.",7.5,NETWORK,Alta,Sin clasificar,Cisco Pix firewall software,2000-12-11,2026-06-16,9319
CVE-2000-1023,"The Alabanza Control Panel does not require passwords to access administrative commands, which allows remote attackers to modify domain name information via the nsManager.cgi CGI program.",7.5,NETWORK,Alta,Sin clasificar,Alabanza Control panel,2000-12-11,2026-06-16,9319
CVE-2000-1024,"eWave ServletExec 3.0C and earlier does not restrict access to the UploadServlet Java/JSP servlet, which allows remote attackers to upload files and execute arbitrary commands.",10,NETWORK,Crítica,Sin clasificar,Unify Ewave servletexec,2000-12-11,2026-06-16,9319
CVE-2000-1025,"eWave ServletExec JSP/Java servlet engine, versions 3.0C and earlier, allows remote attackers to cause a denial of service via a URL that contains the ""/servlet/"" string, which invokes the ServletExec servlet and causes an exception if the servlet is already running.",5,NETWORK,Media,Sin clasificar,Unify Ewave servletexec,2000-12-11,2026-06-16,9319
CVE-2000-1026,Multiple buffer overflows in LBNL tcpdump allow remote attackers to execute arbitrary commands.,10,NETWORK,Crítica,Sin clasificar,Lbl Tcpdump,2000-12-11,2026-06-16,9319
CVE-2000-1027,"Cisco Secure PIX Firewall 5.2(2) allows remote attackers to determine the real IP address of a target FTP server by flooding the server with PASV requests, which includes the real IP address in the response when passive mode is established.",5,NETWORK,Media,Sin clasificar,Cisco Pix firewall software,2000-12-11,2026-06-16,9319
CVE-2000-1028,Buffer overflow in cu program in HP-UX 11.0 may allow local users to gain privileges via a long -l command line argument.,7.2,LOCAL,Alta,Sin clasificar,Hp Hp-ux,2000-12-11,2026-06-16,9319
CVE-2000-1029,Buffer overflow in host command allows a remote attacker to execute arbitrary commands via a long response to an AXFR query.,10,NETWORK,Crítica,Sin clasificar,Isc Bind,2000-12-11,2026-06-16,9319
CVE-2000-1030,"CS&T CorporateTime for the Web returns different error messages for invalid usernames and invalid passwords, which allows remote attackers to determine valid usernames on the server.",5,NETWORK,Media,Sin clasificar,Csandt Corporatetime for the web,2000-12-11,2026-06-16,9319
CVE-2000-1031,Buffer overflow in dtterm in HP-UX 11.0 and HP Tru64 UNIX 4.0f through 5.1a allows local users to execute arbitrary code via a long -tn option.,4.6,LOCAL,Media,Sin clasificar,Hp Hp-ux,2000-12-11,2026-06-16,9319
CVE-2000-1032,"The client authentication interface for Check Point Firewall-1 4.0 and earlier generates different error messages for invalid usernames versus invalid passwords, which allows remote attackers to identify valid usernames on the firewall.",5,NETWORK,Media,Sin clasificar,Checkpoint Firewall-1,2000-12-11,2026-06-16,9319
CVE-2000-1033,Serv-U FTP Server allows remote attackers to bypass its anti-hammering feature by first logging on as a valid user (possibly anonymous) and then attempting to guess the passwords of other users.,7.5,NETWORK,Alta,Sin clasificar,Cat soft Serv-u,2000-12-11,2026-06-16,9319
CVE-2000-1034,"Buffer overflow in the System Monitor ActiveX control in Windows 2000 allows remote attackers to execute arbitrary commands via a long LogFileName parameter in HTML source code, aka the ""ActiveX Parameter Validation"" vulnerability.",10,NETWORK,Crítica,Sin clasificar,Microsoft Windows 2000,2000-12-11,2026-06-16,9319
CVE-2000-1035,"Buffer overflows in TYPSoft FTP Server 0.78 and earlier allows remote attackers to cause a denial of service and possibly execute arbitrary commands via a long USER, PASS, or CWD command.",10,NETWORK,Crítica,Sin clasificar,Typsoft Typsoft,2000-12-11,2026-06-16,9319
CVE-2000-1036,Directory traversal vulnerability in Extent RBS ISP web server allows remote attackers to read sensitive information via a .. (dot dot) attack on the Image parameter.,5,NETWORK,Media,Sin clasificar,Extent technologies Rbs isp,2000-12-11,2026-06-16,9319
CVE-2000-1037,"Check Point Firewall-1 session agent 3.0 through 4.1 generates different error messages for invalid user names versus invalid passwords, which allows remote attackers to determine valid usernames and guess a password via a brute force attack.",7.5,NETWORK,Alta,Sin clasificar,Checkpoint Firewall-1,2000-12-11,2026-06-16,9319
CVE-2000-1038,The web administration interface for IBM AS/400 Firewall allows remote attackers to cause a denial of service via an empty GET request.,5,NETWORK,Media,Sin clasificar,Ibm As400 firewall,2000-12-11,2026-06-16,9319
CVE-2000-1040,"Format string vulnerability in logging function of ypbind 3.3, while running in debug mode, leaks file descriptors and allows an attacker to cause a denial of service.",10,NETWORK,Crítica,Sin clasificar,Suse Suse linux,2000-12-11,2026-06-16,9319
CVE-2000-1041,Buffer overflow in ypbind 3.3 possibly allows an attacker to gain root privileges.,10,NETWORK,Crítica,Sin clasificar,Swen thuemmler Ypbind,2000-12-11,2026-06-16,9319
